current_nA,measured_rate_Hz,python_rate_Hz,abs_error_Hz,percent_error
1.0,10.55394431752525,10.0,0.5539443175252501,5.248694714121271
3.020408163265306,31.627672679168196,31.0,0.6276726791681959,1.984568025397636
5.040816326530612,52.70140104081114,52.0,0.7014010408111417,1.3308963840790262
7.061224489795918,73.77512940245408,73.0,0.775129402454084,1.0506649174759697
9.081632653061224,94.84885776409703,94.0,0.8488577640970334,0.8949583412045581
11.102040816326529,115.90599457164774,115.0,0.9059945716477387,0.7816632565002448
13.122448979591836,136.8138073923684,136.0,0.8138073923684033,0.5948284079504378
15.142857142857142,157.72162021308907,157.0,0.7216202130890679,0.4575277708370775
17.163265306122447,178.6294330338097,178.0,0.6294330338097041,0.35236804098827845
19.183673469387752,199.53724585453034,199.0,0.5372458545303402,0.2692459005483173
21.204081632653057,220.41202490631602,220.0,0.4120249063160202,0.18693395085460848
23.224489795918366,241.15466888236193,241.0,0.154668882361932,0.06413679779817213
25.24489795918367,261.8973128584078,261.0,0.8973128584078154,0.34262010885653443
27.265306122448976,282.6399568344537,282.0,0.6399568344536988,0.22642121857828149
29.285714285714285,303.38260081049964,303.0,0.382600810499639,0.12611165224291193
31.30612244897959,324.10908463408515,324.0,0.1090846340851499,0.033656765347477066
33.326530612244895,344.7978614352632,344.0,0.7978614352632007,0.23139976331117748
35.3469387755102,365.48663823644125,365.0,0.4866382364412516,0.1331480239029791
37.367346938775505,386.17541503761925,386.0,0.1754150376192456,0.04542366779152877
39.38775510204081,406.8641918387973,406.0,0.8641918387972964,0.2124030219743928
41.408163265306115,427.539674591393,427.0,0.539674591393009,0.1262279557818313
43.42857142857142,448.1952162711154,448.0,0.19521627111538464,0.043556080928203705
45.44897959183673,468.8507579508377,468.0,0.8507579508377034,0.18145602548581385
47.469387755102034,489.50629963055997,489.0,0.5062996305599654,0.10343066696834743
49.48979591836734,510.16184131028234,510.0,0.16184131028234106,0.03172352323856158
51.51020408163265,530.748091053079,530.0,0.7480910530789515,0.14095030499207892
53.53061224489795,551.2650488589499,551.0,0.26504885894985364,0.04808011309595481
55.55102040816326,571.7820066648208,571.0,0.7820066648207558,0.13676657462206027
57.57142857142857,592.2989644706915,592.0,0.2989644706915442,0.05047526479447994
59.59183673469387,612.8159222765624,612.0,0.8159222765624463,0.13314312616606955
61.61224489795918,633.2496538484486,633.0,0.24965384844858818,0.039424237649616806
63.63265306122448,653.6279012643449,653.0,0.6279012643449278,0.0960640240617555
65.65306122448979,674.0061486802414,674.0,0.006148680241381044,0.0009122587758910891
67.67346938775509,694.3843960961377,694.0,0.38439609613772063,0.05535782461397662
69.6938775510204,714.7626435120342,714.0,0.7626435120341739,0.10669884876563693
71.71428571428571,735.0892343629722,735.0,0.08923436297220633,0.012139255861846047
73.73469387755101,755.3936866860709,755.0,0.39368668607085056,0.05211675620403487
75.75510204081633,775.6981390091697,775.0,0.6981390091697222,0.09000137734782798
77.77551020408163,796.0025913322685,796.0,0.0025913322684800733,0.0003255431950470116
79.79591836734693,816.3070436553671,816.0,0.3070436553671243,0.03761374567983682
81.81632653061223,836.6290491219421,836.0,0.6290491219421028,0.07518853458438979
83.83673469387755,856.9554428743862,856.0,0.9554428743862218,0.11149271322456282
85.85714285714285,877.2818366268301,877.0,0.28183662683011335,0.03212612128318785
87.87755102040815,897.6082303792741,897.0,0.6082303792741186,0.06776123019918365
89.89795918367346,917.9346241317182,917.0,0.9346241317182375,0.10181815863001203
91.91836734693877,938.061340296597,938.0,0.06134029659699536,0.006539049629483796
93.93877551020407,958.1658700628575,958.0,0.1658700628574934,0.017311205506267094
95.95918367346938,978.270399829118,978.0,0.27039982911799143,0.027640602144890024
97.97959183673468,998.3749295953784,998.0,0.3749295953783758,0.03755398741135531
100.0,1018.479459361639,1018.0,0.4794593616389875,0.047075997186973445
