time_s,input_current_nA,predicted_rate_hz,voltage,spike
0.0,50.0,515.3778871890001,0.05121696428755962,0.0
0.0001,50.0,515.3778871890001,0.10140958928936804,0.0
0.0002,50.0,515.3778871890001,0.1505983617911403,0.0
0.00030000000000000003,50.0,515.3778871890001,0.19880335884287711,0.0
0.0004,50.0,515.3778871890001,0.2460442559535792,0.0
0.0005,50.0,515.3778871890001,0.29234033512206725,0.0
0.0006000000000000001,50.0,515.3778871890001,0.3377104927071855,0.0
0.0007,50.0,515.3778871890001,0.3821732471406014,0.0
0.0008,50.0,515.3778871890001,0.425746746485349,0.0
0.0009000000000000001,50.0,515.3778871890001,0.46844877584320166,0.0
0.001,50.0,515.3778871890001,0.5102967646138973,0.0
0.0011,50.0,515.3778871890001,0.5513077936091789,0.0
0.0012000000000000001,50.0,515.3778871890001,0.591498602024555,0.0
0.0013000000000000002,50.0,515.3778871890001,0.6308855942716235,0.0
0.0014,50.0,515.3778871890001,0.6694848466737506,0.0
0.0015,50.0,515.3778871890001,0.7073121140278352,0.0
0.0016,50.0,515.3778871890001,0.7443828360348381,0.0
0.0017000000000000001,50.0,515.3778871890001,0.7807121436017009,0.0
0.0018000000000000002,50.0,515.3778871890001,0.8163148650172265,0.0
0.0019,50.0,515.3778871890001,0.0,1.0
0.002,50.0,515.3778871890001,0.05121696428755962,0.0
0.0021000000000000003,50.0,515.3778871890001,0.10140958928936804,0.0
0.0022,50.0,515.3778871890001,0.1505983617911403,0.0
0.0023,50.0,515.3778871890001,0.19880335884287711,0.0
0.0024000000000000002,50.0,515.3778871890001,0.2460442559535792,0.0
0.0025,50.0,515.3778871890001,0.29234033512206725,0.0
0.0026000000000000003,50.0,515.3778871890001,0.3377104927071855,0.0
0.0027,50.0,515.3778871890001,0.3821732471406014,0.0
0.0028,50.0,515.3778871890001,0.425746746485349,0.0
0.0029000000000000002,50.0,515.3778871890001,0.46844877584320166,0.0
0.003,50.0,515.3778871890001,0.5102967646138973,0.0
0.0031000000000000003,50.0,515.3778871890001,0.5513077936091789,0.0
0.0032,50.0,515.3778871890001,0.591498602024555,0.0
0.0033,50.0,515.3778871890001,0.6308855942716235,0.0
0.0034000000000000002,50.0,515.3778871890001,0.6694848466737506,0.0
0.0035,50.0,515.3778871890001,0.7073121140278352,0.0
0.0036000000000000003,50.0,515.3778871890001,0.7443828360348381,0.0
0.0037,50.0,515.3778871890001,0.7807121436017009,0.0
0.0038,50.0,515.3778871890001,0.0,1.0
0.0039000000000000003,50.0,515.3778871890001,0.05121696428755962,0.0
0.004,50.0,515.3778871890001,0.10140958928936804,0.0
0.0041,50.0,515.3778871890001,0.1505983617911403,0.0
0.004200000000000001,50.0,515.3778871890001,0.19880335884287711,0.0
0.0043,50.0,515.3778871890001,0.2460442559535792,0.0
0.0044,50.0,515.3778871890001,0.29234033512206725,0.0
0.0045000000000000005,50.0,515.3778871890001,0.3377104927071855,0.0
0.0046,50.0,515.3778871890001,0.3821732471406014,0.0
0.0047,50.0,515.3778871890001,0.425746746485349,0.0
0.0048000000000000004,50.0,515.3778871890001,0.46844877584320166,0.0
0.0049,50.0,515.3778871890001,0.5102967646138973,0.0
0.005,50.0,515.3778871890001,0.5513077936091789,0.0
0.0051,50.0,515.3778871890001,0.591498602024555,0.0
0.005200000000000001,50.0,515.3778871890001,0.6308855942716235,0.0
0.0053,50.0,515.3778871890001,0.6694848466737506,0.0
0.0054,50.0,515.3778871890001,0.7073121140278352,0.0
0.0055000000000000005,50.0,515.3778871890001,0.7443828360348381,0.0
0.0056,50.0,515.3778871890001,0.7807121436017009,0.0
0.0057,50.0,515.3778871890001,0.8163148650172265,0.0
0.0058000000000000005,50.0,515.3778871890001,0.0,1.0
0.0059,50.0,515.3778871890001,0.05121696428755962,0.0
0.006,50.0,515.3778871890001,0.10140958928936804,0.0
0.0061,50.0,515.3778871890001,0.1505983617911403,0.0
0.006200000000000001,50.0,515.3778871890001,0.19880335884287711,0.0
0.0063,50.0,515.3778871890001,0.2460442559535792,0.0
0.0064,50.0,515.3778871890001,0.29234033512206725,0.0
0.006500000000000001,50.0,515.3778871890001,0.3377104927071855,0.0
0.0066,50.0,515.3778871890001,0.3821732471406014,0.0
0.0067,50.0,515.3778871890001,0.425746746485349,0.0
0.0068000000000000005,50.0,515.3778871890001,0.46844877584320166,0.0
0.006900000000000001,50.0,515.3778871890001,0.5102967646138973,0.0
0.007,50.0,515.3778871890001,0.5513077936091789,0.0
0.0071,50.0,515.3778871890001,0.591498602024555,0.0
0.007200000000000001,50.0,515.3778871890001,0.6308855942716235,0.0
0.0073,50.0,515.3778871890001,0.6694848466737506,0.0
0.0074,50.0,515.3778871890001,0.7073121140278352,0.0
0.007500000000000001,50.0,515.3778871890001,0.7443828360348381,0.0
0.0076,50.0,515.3778871890001,0.7807121436017009,0.0
0.0077,50.0,515.3778871890001,0.0,1.0
0.0078000000000000005,50.0,515.3778871890001,0.05121696428755962,0.0
0.0079,50.0,515.3778871890001,0.10140958928936804,0.0
0.008,50.0,515.3778871890001,0.1505983617911403,0.0
0.0081,50.0,515.3778871890001,0.19880335884287711,0.0
0.0082,50.0,515.3778871890001,0.2460442559535792,0.0
0.0083,50.0,515.3778871890001,0.29234033512206725,0.0
0.008400000000000001,50.0,515.3778871890001,0.3377104927071855,0.0
0.0085,50.0,515.3778871890001,0.3821732471406014,0.0
0.0086,50.0,515.3778871890001,0.425746746485349,0.0
0.008700000000000001,50.0,515.3778871890001,0.46844877584320166,0.0
0.0088,50.0,515.3778871890001,0.5102967646138973,0.0
0.0089,50.0,515.3778871890001,0.5513077936091789,0.0
0.009000000000000001,50.0,515.3778871890001,0.591498602024555,0.0
0.0091,50.0,515.3778871890001,0.6308855942716235,0.0
0.0092,50.0,515.3778871890001,0.6694848466737506,0.0
0.009300000000000001,50.0,515.3778871890001,0.7073121140278352,0.0
0.0094,50.0,515.3778871890001,0.7443828360348381,0.0
0.0095,50.0,515.3778871890001,0.7807121436017009,0.0
0.009600000000000001,50.0,515.3778871890001,0.8163148650172265,0.0
0.0097,50.0,515.3778871890001,0.0,1.0
0.0098,50.0,515.3778871890001,0.05121696428755962,0.0
0.0099,50.0,515.3778871890001,0.10140958928936804,0.0
0.01,50.0,515.3778871890001,0.1505983617911403,0.0
0.010100000000000001,50.0,515.3778871890001,0.19880335884287711,0.0
0.0102,50.0,515.3778871890001,0.2460442559535792,0.0
0.0103,50.0,515.3778871890001,0.29234033512206725,0.0
0.010400000000000001,50.0,515.3778871890001,0.3377104927071855,0.0
0.0105,50.0,515.3778871890001,0.3821732471406014,0.0
0.0106,50.0,515.3778871890001,0.425746746485349,0.0
0.010700000000000001,50.0,515.3778871890001,0.46844877584320166,0.0
0.0108,50.0,515.3778871890001,0.5102967646138973,0.0
0.0109,50.0,515.3778871890001,0.5513077936091789,0.0
0.011000000000000001,50.0,515.3778871890001,0.591498602024555,0.0
0.0111,50.0,515.3778871890001,0.6308855942716235,0.0
0.0112,50.0,515.3778871890001,0.6694848466737506,0.0
0.011300000000000001,50.0,515.3778871890001,0.7073121140278352,0.0
0.0114,50.0,515.3778871890001,0.7443828360348381,0.0
0.0115,50.0,515.3778871890001,0.7807121436017009,0.0
0.011600000000000001,50.0,515.3778871890001,0.0,1.0
0.0117,50.0,515.3778871890001,0.05121696428755962,0.0
