current_nA,measured_rate_Hz,python_rate_Hz,abs_error_Hz,percent_error,spike_count
10.0,104.42782520120747,104.0,0.4278252012074688,0.4096850627532958,104
20.0,207.98484699421547,207.0,0.9848469942154736,0.473518628134897,207
50.0,515.3778871890001,515.0,0.3778871890001483,0.07332235208251552,515
