python_spike_time_s,cadence_spike_time_s,timing_error_s,timing_error_ms
0.0009,0.000898549520688,1.4504793119999833e-06,0.0014504793119999833
0.0019,0.0018833275860281,1.6672413971900073e-05,0.01667241397190007
0.0029,0.0028682812500889,3.171874991109982e-05,0.031718749911099825
0.0039,0.0038531052071751,4.689479282489993e-05,0.04689479282489993
0.0049,0.0048375905311168,6.240946888319988e-05,0.06240946888319988
0.0059,0.0058225347305209,7.746526947910014e-05,0.07746526947910015
0.0068,0.006807656084486,-7.656084486000643e-06,-0.007656084486000643
0.0078,0.00779253662495,7.463375049999825e-06,0.007463375049999825
0.0088,0.0087775758619544,2.2424138045601047e-05,0.022424138045601047
0.0098,0.0097625014431928,3.74985568071997e-05,0.0374985568071997
0.0108,0.0107474568317638,5.254316823620139e-05,0.05254316823620139
0.0118,0.0117324952743441,6.750472565589943e-05,0.06750472565589943
0.0128,0.0127166805382452,8.331946175480116e-05,0.08331946175480116
0.0137,0.0137013688230442,-1.3688230442003568e-06,-0.0013688230442003568
0.0147,0.0146861176429405,1.3882357059499806e-05,0.013882357059499806
0.0157,0.0156711203769651,2.8879623034896995e-05,0.028879623034896995
0.0167,0.01665622320321,4.377679679000088e-05,0.04377679679000088
0.0177,0.0176411741571689,5.882584283110198e-05,0.05882584283110198
0.0187,0.0186254950993436,7.45049006563997e-05,0.0745049006563997
0.0197,0.0196100504657321,8.994953426789964e-05,0.08994953426789964
0.0206,0.0205949392601495,5.060739850501483e-06,0.005060739850501483
0.0216,0.021579651905174,2.0348094826001112e-05,0.020348094826001112
0.0226,0.0225646983040168,3.530169598319963e-05,0.03530169598319963
0.0236,0.0235497853883293,5.0214611670700016e-05,0.050214611670700016
0.0246,0.0245347957629417,6.520423705829934e-05,0.06520423705829934
0.0256,0.0255196961850766,8.030381492339991e-05,0.08030381492339991
0.0265,0.0265046993950052,-4.6993950051990585e-06,-0.0046993950051990585
0.0275,0.0274897891884714,1.0210811528601343e-05,0.010210811528601343
0.0285,0.0284747578270321,2.5242172967902127e-05,0.025242172967902127
0.0295,0.0294593231212916,4.067687870839762e-05,0.04067687870839762
0.0305,0.0304442934678971,5.5706532102899053e-05,0.05570653210289905
0.0315,0.0314292964531615,7.070354683850338e-05,0.07070354683850338
0.0325,0.0324144262279416,8.557377205840183e-05,0.08557377205840183
0.0334,0.0333995305700202,4.6942997979776413e-07,0.00046942997979776413
0.0344,0.0343843021420288,1.5697857971203044e-05,0.015697857971203044
0.0354,0.0353691896419309,3.081035806910132e-05,0.030810358069101318
0.0364,0.0363537398704041,4.626012959590281e-05,0.04626012959590281
0.0374,0.0373387356635238,6.126433647619944e-05,0.061264336476199444
0.0384,0.0383236475485254,7.635245147459557e-05,0.07635245147459557
0.0394,0.039308738735327,9.126126467299406e-05,0.09126126467299406
0.0403,0.0402936936476004,6.306352399600146e-06,0.006306352399600146
0.0413,0.0412785385119423,2.1461488057705758e-05,0.021461488057705758
0.0423,0.0422635685432413,3.64314567586968e-05,0.0364314567586968
0.0433,0.0432486955481068,5.130445189319849e-05,0.05130445189319849
0.0443,0.0442335507247432,6.644927525679967e-05,0.06644927525679967
0.0453,0.0452185723202723,8.142767972769971e-05,0.08142767972769971
0.0462,0.0462035257583388,-3.5257583387987568e-06,-0.0035257583387987568
0.0472,0.0471884285366105,1.1571463389502268e-05,0.011571463389502268
0.0482,0.0481732533377294,2.6746662270600574e-05,0.026746662270600574
0.0492,0.0491581455408861,4.1854459113900566e-05,0.041854459113900566
0.0502,0.0501430485197456,5.695148025439828e-05,0.05695148025439828
0.0512,0.0511280321568331,7.196784316690352e-05,0.07196784316690352
0.0522,0.0521129184747747,8.708152522530349e-05,0.08708152522530349
0.0531,0.0530979927738509,2.0072261491047017e-06,0.0020072261491047017
0.0541,0.0540830098170835,1.699018291650284e-05,0.01699018291650284
0.0551,0.0550678124649361,3.218753506390587e-05,0.03218753506390587
0.0561,0.0560521583161959,4.7841683804096535e-05,0.047841683804096535
0.0571,0.0570370822444691,6.29177555308974e-05,0.0629177555308974
0.0581,0.0580221709981476,7.782900185240166e-05,0.07782900185240166
0.0591,0.0590070086354448,9.299136455519913e-05,0.09299136455519913
0.06,0.0599918982313952,8.101768604794335e-06,0.008101768604794335
0.061,0.0609768118324708,2.3188167529199222e-05,0.023188167529199222
0.062,0.0619614950262232,3.8504973776797013e-05,0.038504973776797013
0.063,0.0629462907006895,5.370929931050594e-05,0.05370929931050594
0.064,0.0639313298603105,6.867013968950286e-05,0.06867013968950286
0.065,0.0649157845013939,8.421549860609945e-05,0.08421549860609945
0.0659,0.0659007409054326,-7.409054326029674e-07,-0.0007409054326029674
0.0669,0.0668857160314608,1.4283968539197112e-05,0.014283968539197112
0.0679,0.0678705607399568,2.943926004320141e-05,0.02943926004320141
0.0689,0.0688555110736158,4.4488926384200767e-05,0.044488926384200767
0.0699,0.0698403946882405,5.960531175949746e-05,0.05960531175949746
0.0709,0.0708250240415193,7.497595848070249e-05,0.07497595848070249
0.0719,0.0718100429795576,8.99570204423994e-05,0.0899570204423994
0.0728,0.0727948170226046,5.1829773954070735e-06,0.0051829773954070735
0.0738,0.0737796677987399,2.033220126010371e-05,0.02033220126010371
0.0748,0.0747644502932947,3.554970670530122e-05,0.03554970670530122
0.0758,0.0757494498911976,5.0550108802407956e-05,0.050550108802407956
0.0768,0.0767343056524342,6.569434756578674e-05,0.06569434756578674
0.0778,0.0777191211964533,8.087880354669397e-05,0.08087880354669397
0.0788,0.0787040311372395,9.596886276048988e-05,0.09596886276048988
0.0797,0.0796889472517738,1.1052748226186848e-05,0.011052748226186848
0.0807,0.0806739212454133,2.6078754586697506e-05,0.026078754586697506
0.0817,0.0816589146608016,4.108533919840174e-05,0.04108533919840174
0.0827,0.0826438701641913,5.612983580870201e-05,0.05612983580870201
0.0837,0.0836289725241632,7.10274758368018e-05,0.0710274758368018
0.0847,0.0846139515448441,8.604845515590431e-05,0.08604845515590431
0.0857,0.0855983426128413,0.00010165738715869899,0.10165738715869899
0.0866,0.0865830740438505,1.692595614949388e-05,0.01692595614949388
0.0876,0.087568103305811,3.189669418900143e-05,0.03189669418900143
