neuron_index,python_spike_count,cadence_spike_count,matched_spike_count,mean_abs_timing_error_ms,rmse_timing_error_ms,max_abs_timing_error_ms
0,101,101,101,0.045894421633411994,0.05425572098522061,0.10165738715869899
1,97,97,97,0.0409895641754837,0.049178605889202254,0.09060682072310755
2,6,6,6,1.3357309084993347,1.336413052417285,1.3962030844150985
3,2,2,2,3.819270427358797,3.81973740264436,3.878996701835197
