python_spike_time_s,cadence_spike_time_s,timing_error_s,timing_error_ms
0.001,0.0009386291897957,6.137081020430007e-05,0.06137081020430007
0.002,0.0019671567838817,3.284321611830019e-05,0.032843216118300184
0.003,0.0029956838141042,4.316185895799924e-06,0.004316185895799924
0.0041,0.0040240628860815,7.593711391850038e-05,0.07593711391850039
0.0051,0.0050519064474449,4.8093552555100554e-05,0.048093552555100554
0.0061,0.0060804240078053,1.9575992194700506e-05,0.019575992194700506
0.0071,0.0071089815636364,-8.981563636399625e-06,-0.008981563636399625
0.0082,0.0081375336601656,6.246633983440081e-05,0.06246633983440081
0.0092,0.0091660868159873,3.3913184012699174e-05,0.033913184012699174
0.0102,0.0101944960201134,5.503979886601132e-06,0.005503979886601132
0.0113,0.0112226312184951,7.736878150489852e-05,0.07736878150489852
0.0123,0.0122507737339665,4.922626603350022e-05,0.04922626603350022
0.0133,0.0132792844472021,2.0715552797898745e-05,0.020715552797898745
0.0143,0.0143076894414912,-7.689441491199461e-06,-0.007689441491199461
0.0154,0.0153362071859533,6.379281404669986e-05,0.06379281404669986
0.0164,0.0163646148106693,3.538518933070278e-05,0.03538518933070278
0.0174,0.0173925181477869,7.481852213098855e-06,0.007481852213098855
0.0185,0.0184210667877527,7.893321224729938e-05,0.07893321224729938
0.0195,0.0194490004314371,5.099956856290111e-05,0.05099956856290111
0.0205,0.020477598496037,2.2401503963001557e-05,0.022401503963001557
0.0215,0.0215059923881664,-5.992388166401602e-06,-0.005992388166401602
0.0226,0.0225344594101458,6.554058985419955e-05,0.06554058985419955
0.0236,0.0235628934490195,3.7106550980499364e-05,0.037106550980499364
0.0246,0.0245914620366654,8.537963334599025e-06,0.008537963334599025
0.0257,0.0256198682664265,8.01317335735012e-05,0.0801317335735012
0.0267,0.0266478424305085,5.215756949150316e-05,0.05215756949150316
0.0277,0.0276762687868933,2.3731213106698013e-05,0.023731213106698013
0.0287,0.028704481166968,-4.4811669679990784e-06,-0.004481166967999078
