epoch,train_loss,train_acc,test_acc,hidden_size,time_steps
1,1.3070145383199057,70.37833333333333,86.5,128,10
2,0.5091401215871175,88.015,89.56,128,10
3,0.36276064488093057,90.06,90.99,128,10
