time_s,input_current_nA
0.0,5.9768004
0.0001,5.9768004
0.0002,5.9768004
0.00030000000000000003,5.9768004
0.0004,5.9768004
0.0005,5.9768004
0.0006000000000000001,5.9768004
0.0007,5.9768004
0.0008,5.9768004
0.0009000000000000001,5.9768004
0.001,5.9768004
0.0011,5.9768004
0.0012000000000000001,5.9768004
0.0013000000000000002,5.9768004
0.0014,5.9768004
0.0015,5.9768004
0.0016,5.9768004
0.0017000000000000001,5.9768004
0.0018000000000000002,5.9768004
0.0019,5.9768004
0.002,5.9768004
0.0021000000000000003,5.9768004
0.0022,5.9768004
0.0023,5.9768004
0.0024000000000000002,5.9768004
0.0025,5.9768004
0.0026000000000000003,5.9768004
0.0027,5.9768004
0.0028,5.9768004
0.0029000000000000002,5.9768004
0.003,5.9768004
0.0031000000000000003,5.9768004
0.0032,5.9768004
0.0033,5.9768004
0.0034000000000000002,5.9768004
0.0035,5.9768004
0.0036000000000000003,5.9768004
0.0037,5.9768004
0.0038,5.9768004
0.0039000000000000003,5.9768004
0.004,5.9768004
0.0041,5.9768004
0.004200000000000001,5.9768004
0.0043,5.9768004
0.0044,5.9768004
0.0045000000000000005,5.9768004
0.0046,5.9768004
0.0047,5.9768004
0.0048000000000000004,5.9768004
0.0049,5.9768004
0.005,5.9768004
0.0051,5.9768004
0.005200000000000001,5.9768004
0.0053,5.9768004
0.0054,5.9768004
0.0055000000000000005,5.9768004
0.0056,5.9768004
0.0057,5.9768004
0.0058000000000000005,5.9768004
0.0059,5.9768004
0.006,5.9768004
0.0061,5.9768004
0.006200000000000001,5.9768004
0.0063,5.9768004
0.0064,5.9768004
0.006500000000000001,5.9768004
0.0066,5.9768004
0.0067,5.9768004
0.0068000000000000005,5.9768004
0.006900000000000001,5.9768004
0.007,5.9768004
0.0071,5.9768004
0.007200000000000001,5.9768004
0.0073,5.9768004
0.0074,5.9768004
0.007500000000000001,5.9768004
0.0076,5.9768004
0.0077,5.9768004
0.0078000000000000005,5.9768004
0.0079,5.9768004
0.008,5.9768004
0.0081,5.9768004
0.0082,5.9768004
0.0083,5.9768004
0.008400000000000001,5.9768004
0.0085,5.9768004
0.0086,5.9768004
0.008700000000000001,5.9768004
0.0088,5.9768004
0.0089,5.9768004
0.009000000000000001,5.9768004
0.0091,5.9768004
0.0092,5.9768004
0.009300000000000001,5.9768004
0.0094,5.9768004
0.0095,5.9768004
0.009600000000000001,5.9768004
0.0097,5.9768004
0.0098,5.9768004
0.0099,5.9768004
0.01,5.9768004
0.010100000000000001,5.9768004
0.0102,5.9768004
0.0103,5.9768004
0.010400000000000001,5.9768004
0.0105,5.9768004
0.0106,5.9768004
0.010700000000000001,5.9768004
0.0108,5.9768004
0.0109,5.9768004
0.011000000000000001,5.9768004
0.0111,5.9768004
0.0112,5.9768004
0.011300000000000001,5.9768004
0.0114,5.9768004
0.0115,5.9768004
0.011600000000000001,5.9768004
0.0117,5.9768004
0.0118,5.9768004
0.0119,5.9768004
0.012,5.9768004
0.012100000000000001,5.9768004
0.0122,5.9768004
0.0123,5.9768004
0.012400000000000001,5.9768004
0.0125,5.9768004
0.0126,5.9768004
0.012700000000000001,5.9768004
0.0128,5.9768004
0.0129,5.9768004
0.013000000000000001,5.9768004
0.0131,5.9768004
0.0132,5.9768004
0.013300000000000001,5.9768004
0.0134,5.9768004
0.0135,5.9768004
0.013600000000000001,5.9768004
0.0137,5.9768004
0.013800000000000002,5.9768004
0.013900000000000001,5.9768004
0.014,5.9768004
0.014100000000000001,5.9768004
0.0142,5.9768004
0.0143,5.9768004
0.014400000000000001,5.9768004
0.0145,5.9768004
0.0146,5.9768004
0.014700000000000001,5.9768004
0.0148,5.9768004
0.0149,5.9768004
0.015000000000000001,5.9768004
0.0151,5.9768004
0.0152,5.9768004
0.015300000000000001,5.9768004
0.0154,5.9768004
0.0155,5.9768004
0.015600000000000001,5.9768004
0.015700000000000002,5.9768004
0.0158,5.9768004
0.0159,5.9768004
0.016,5.9768004
0.0161,5.9768004
0.0162,5.9768004
0.016300000000000002,5.9768004
0.0164,5.9768004
0.0165,5.9768004
0.0166,5.9768004
0.0167,5.9768004
0.016800000000000002,5.9768004
0.016900000000000002,5.9768004
0.017,5.9768004
0.0171,5.9768004
0.0172,5.9768004
0.0173,5.9768004
0.017400000000000002,5.9768004
0.0175,5.9768004
0.0176,5.9768004
0.0177,5.9768004
0.0178,5.9768004
0.0179,5.9768004
0.018000000000000002,5.9768004
0.0181,5.9768004
0.0182,5.9768004
0.0183,5.9768004
0.0184,5.9768004
0.018500000000000003,5.9768004
0.018600000000000002,5.9768004
0.0187,5.9768004
0.0188,5.9768004
0.0189,5.9768004
0.019,5.9768004
0.019100000000000002,5.9768004
0.019200000000000002,5.9768004
0.0193,5.9768004
0.0194,5.9768004
0.0195,5.9768004
0.0196,5.9768004
0.019700000000000002,5.9768004
0.0198,5.9768004
0.0199,5.9768004
0.02,5.9768004
0.0201,5.9768004
0.020200000000000003,5.9768004
0.020300000000000002,5.9768004
0.0204,5.9768004
0.0205,5.9768004
0.0206,5.9768004
0.0207,5.9768004
0.020800000000000003,5.9768004
0.020900000000000002,5.9768004
0.021,5.9768004
0.0211,5.9768004
0.0212,5.9768004
0.0213,5.9768004
0.021400000000000002,5.9768004
0.021500000000000002,5.9768004
0.0216,5.9768004
0.0217,5.9768004
0.0218,5.9768004
0.0219,5.9768004
0.022000000000000002,5.9768004
0.0221,5.9768004
0.0222,5.9768004
0.0223,5.9768004
0.0224,5.9768004
0.022500000000000003,5.9768004
0.022600000000000002,5.9768004
0.0227,5.9768004
0.0228,5.9768004
0.0229,5.9768004
0.023,5.9768004
0.023100000000000002,5.9768004
0.023200000000000002,5.9768004
0.0233,5.9768004
