epoch,train_loss,train_acc,test_acc,hidden_size,time_steps
1,1.3002247534434002,71.56333333333333,87.18,128,10
2,0.503493381579717,88.11833333333334,89.65,128,10
3,0.360669980041186,90.04333333333334,91.03,128,10
