python_spike_time_s,cadence_spike_time_s,timing_error_s,timing_error_us
0.00194,0.001781,0.00015900000000000007,159.00000000000006
0.00388,0.003723,0.00015700000000000002,157.00000000000003
0.0058200000000000005,0.005663,0.0001570000000000009,157.00000000000088
0.00776,0.007605,0.00015500000000000062,155.00000000000063
0.0097,0.009546,0.00015399999999999962,153.99999999999963
0.011640000000000001,0.011488,0.0001520000000000011,152.00000000000108
0.013580000000000002,0.01343,0.00015000000000000256,150.00000000000256
0.01552,0.015371,0.00014900000000000156,149.00000000000156
0.01746,0.017312,0.00014799999999999883,147.99999999999883
0.0194,0.019252,0.0001480000000000023,148.0000000000023
